text,label
inyector 13 error Motor Sistema de Combustible ,MCM
no baja tolva Sistema Hidraulico Sistema Levante ,MCM
chequeo neumati Neumaticos y Aros Neumaticos ,MCV
rep. asiento conductor Estructura Cabina y Plataforma ,MCM
probl a/c Aire Acondicionado Aire Acondicionado ,MCM
#neumatico pm Mantencion Programada PM ,MPV
chequeo baja potencia Motor Sistema de Admision y Escape ,MCM
probl retorque Neumaticos y Aros Neumaticos ,MCV
falla inyector Motor Sistema de Combustible ,MCE
cambiomasap2 SistemaSuspension Masas,MCM
cambio masa p2 Sistema Suspension Masas ,MCM
#neumatico pm pos 4 desgaste Neumaticos y Aros Neumaticos ,MPV
pm. Mantencion Programada PM ,MP
cheq neumatico p3 Neumaticos y Aros Neumaticos ,MCV
pos.1 bajo] Neumaticos y Aros Neumaticos ,MCV
fuga ac. direccion fuga ac. direccion Sistema Direccion y Frenos ,MCM
fuga aceite motor fuga aceite motor Motor ,MCM
 Motor ,MCM
proble electrico Motor Sistema de Combustible,MCE
inyector 13 error Motor Sistema de Combustible,MCE
inyector 13-15 error Motor Sistema de Combustible,MCE
fuga hid dif Tren de Potencia Eje Palier y Diferencial,MCM
rell aceit hidraulico Sistema Hidraulico Componentes Hidraulicos,MCM
reponer extintor contra incen Sistema Contra Incendios Sistema Contra Incendios,MCM
cheq. plumillas Estructura Cabina y Plataforma,MCM
bajo n-ac.motor Motor Sistema de Lubricacion,MCM
data link Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
sin a/c Aire Acondicionado Aire Acondicionado,MCM
reset eq Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCR
baja p° riel comb. Motor Sistema de Combustible,MCM
potencia Motor Sistema de Combustible,MCM
fuga de refrig Motor Sistema de Enfriamiento,MCM
cabezal filtro com. quebrado Motor Sistema de Enfriamiento,MCM
cabezal filtro com. quebrado Motor Sistema de Combustible,MCM
se detiene diesel Motor Sistema de Admision y Escape,MCE
prob partida Motor Sistema de Combustible,MCM
fuga aceite notor Motor Sistema de Lubricacion,MCM
CHEQUEO POS 1,MCV
PROBLEMA POTENCIA,MCM
PALANCA MARCHAS,MCM
CHEQ POSICION 1,MCV
NEUMATICO POS 1,MCV
neumatico pos 1 ,MCV
BAJA PRESION DE CUMB. RIEL,MCM
"Turno N2: equipo es derivado desde terreno, se debe evaluar fuga interna en cammon rail. Turno N1: en proceso de evaluacion motor por fuga de combustible, se decide cambiar 4 inyectores (6-12-14-16), ademas se debe cambiar v/v Check de retorno combustible. continuar con reparacion. Faltan 02 inyectores comprados a finning, instalar y continuar con reparacion. turno N2: se cargan codigos A-trim, se cmb V/v de venteo desde Tk811, se repone V/V de retorno de chasis, se realiza dosificacion de inyectores.",MCM
CHEQ SUSP P1,MCM
BAJA PRESION COMBUSTIBLE,MCM
CHEQ POS 1,MCV
AISLADO X TEMP P1,MCV
BAJA PRES RIEL COMB,MCE
pm+cambio comp ,MPO
CAMBIO TRANSMISION DIFERENCIA,MPO
PROBL POTENSIA,MCM
Sistema Neumatico,MCV
BAJA PRESION DE COMBUSTIBLE,MCM
BAJA PRESION DE RIEL,MCM
BAJA PRESION RIEL COM,MCM
BAJA PRESION RIEL COMB,MCM
baja presion riel com ,MCM
BAJA PRESION RIEL COMBUSTIBLE,MCM
CHEQ.POSICIONES,MCV
FUGA NITROG POS. 1,MCM
FUGA NITROG X ARO P1,MCV
PROBL TQ COMBUST,MCM
FALLA V/V LLENADO COMBUSTIBLE,MCM
IMPACTO ESPEJO,MCA
ROTACION NEUM,MCV
PROBL LEVANTE,MCM
REAPRETE NEUMATICO,MCV
sin aire para la partida ,MCM
pm 18 dias ,MP
PROBL A/C++,MCM
CHEQ P1 Neumaticos y Aros Neumaticos,MCV
CINTURON SEGURIDAD SUELTO Estructura Cabina y Plataforma,MCM
AIRE ACONDIC.. Aire Acondicionado Aire Acondicionado,MCM
PM 72D -BACKLOG Mantencion Programada PM,MP
PM 72D + BACKLOGS Mantencion Programada PM,MP
LLENADO COMBUST Estructura Estructura y Chasis,MCM
PROBL CINTURON SEG Sistemas de Seguridad Sistema de Seguridad,MCM
 Aire Acondicionado Aire Acondicionado,MCM
PROB DIRECCION Sistema Direccion y Frenos Sistema Direccion,MCM
 Sistema Direccion y Frenos Sistema Direccion,MCM
RELL ACEIT DIRECC Sistema Direccion y Frenos Sistema Direccion,MCM
rellen direccion Sistema Direccion y Frenos Sistema Direccion ,MCM
ALARMA 8 VOLT ERROR Motor Modulo Electrico y Control,MCE
 Motor Modulo Electrico y Control,MCE
ALARM.8 VOLTS FRENO Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
RELL.AC DIRECCION Sistema Direccion y Frenos Sistema Direccion,MCM
FUGA ACEIT DIRECCION Sistema Direccion y Frenos Sistema Direccion,MCM
RELLEN CONVERT Tren de Potencia Convertidor de Torque,MCM
RELL ACEIT DIRECCION Sistema Direccion y Frenos Sistema Direccion,MCM
CHEQ.BAILAC Neumaticos y Aros Neumaticos,MCV
SIN AIRE PARA LA PARTIDA Motor ,MCM
NEUMATICO POS 1-2 CAMBIO Neumaticos y Aros Neumaticos,MPV
chequ pos 3-5 Neumaticos y Aros Neumaticos ,MCV
sin aire para la partida Sistema Auxiliar Sistema Neumatico ,MCM
aire para la partida Sistema Auxiliar Sistema Neumatico ,MCM
neumatico pos 5 pinchado Neumaticos y Aros Neumaticos ,MCV
neumatico pos 6 cambio Neumaticos y Aros ,MCV
cambio pos 4-6 Neumaticos y Aros Neumaticos ,MCV
fuga de aire Sistema Neumatico Sistema Neumatico ,MCM
pos1 con temp Neumaticos y Aros Neumaticos ,MCV
temp pos 1 Neumaticos y Aros Neumaticos ,MCV
aislado temp. pos-1 Neumaticos y Aros Neumaticos ,MCV
fuga valvula pos.3 Neumaticos y Aros Neumaticos ,MCV
sin aire partida Sistema Auxiliar Sistema Neumatico ,MCM
neumatico pos 3 cambio Neumaticos y Aros Neumaticos ,MCV
sin aire para la partida Sistema Neumatico Sistema Neumatico ,MPO
no ingresa combustible Motor Sistema de Combustible ,MCE
rep.radio comunicacio Comunicaciones Comunicaciones ,MCE
temp. neumaticos Neumaticos y Aros Neumaticos ,MCV
falla turbo Motor Sistema de Admision y Escape ,MCM
pm 18d+ backlogs Mantencion Programada PM ,MP
relleno de diferencia Tren de Potencia Mandos Finales ,MCM
baja potencia Motor Sistema de Admision y Escape ,MCM
sin petroleo Instr. Electricos y Comp. Control Arranque y Carga ,MCM
sin combustibles Motor Sistema de Combustible ,MCM
inst- tapa de radiado Motor Sistema de Enfriamiento ,MCM
rell.ac.motor Motor Sistema de Lubricacion ,MCM
bajo niv aceite motor Motor Sistema de Lubricacion ,MCM
fuga c-motor Motor Sistema de Lubricacion ,MCM
cheq. pos- 1 Neumaticos y Aros Neumaticos ,MCV
#neumatico aislado por t° Neumaticos y Aros Neumaticos ,MCV
prob levante Sistema Hidraulico Sistema Levante ,MCM
rep. aire acondicionado Aire Acondicionado Aire Acondicionado ,MCM
plataformacaida Estructura CabinayPlataforma,MCM
pm16d AireAcondicionado AireAcondicionado,MP
pm 16d Aire Acondicionado Aire Acondicionado ,MP
blokeo Motor Modulo Electrico y Control ,MCM
bajapotencia Motor SistemadeAdmisionyEscape,MCM
bajapotencia Motor SistemadeCombustible,MCM
nocargacombustible Motor SistemadeCombustible,MCM
cambio neumatico Neumaticos y Aros Neumaticos ,MPV
cheq. pos. 4 Neumaticos y Aros Neumaticos ,MCV
sin bateria Instr. Electricos y Comp. Control Arranque y Carga ,MCV
cambi0 p4 Neumaticos y Aros Neumaticos ,MCV
cambio p4 Neumaticos y Aros Neumaticos ,MCV
barra direccion Tren de Potencia Transmision ,MCM
sensor n/ac. Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas ,MCE
cambio de cardan principal Tren de Potencia Eje Palier y Diferencial ,MCM
fuga nitrog p1 Neumaticos y Aros Valvula ,MCV
alta presion frenos Sistema Direccion y Frenos Sistema Frenos ,MCE
cambio filtro freno Sistema Direccion y Frenos Sistema Frenos ,MCM
rep.aire acondiconado rep.aire acondiconado Aire Acondicionado ,MCM
probl. levante tolva Sistema Hidraulico Sistema Levante ,MCM
aire para la partida Motor Sistema Partida Electrico ,MCM
probl transm Tren de Potencia Transmision,MCE
rell aceit trans Tren de Potencia Transmision,MCM
rell ac transmicion Tren de Potencia Transmision,MCM
sol 4 trans. en error Tren de Potencia Transmision,MCE
sol. 4 transmision error Tren de Potencia Transmision,MCE
rell. ac. transmision Tren de Potencia Transmision,MCM
alta t° bba de freno Sistema Direccion y Frenos Sistema Frenos,MCM
plataforma der. del. suelta Estructura Cabina y Plataforma,MCM
relleno aceite trans..en p4 Tren de Potencia Transmision,MCM
transmision Tren de Potencia Transmision,MCM
fuga conv Tren de Potencia Convertidor de Torque,MCM
rep tapa conv Tren de Potencia Convertidor de Torque,MCM
sin bateria partida Instr. Electricos y Comp. Control Arranque y Carga,MCE
corte electrico en cabina Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
reset alarma Instr. Electricos y Comp. Control Sistema de Control de Movimiento,MCV
rell. posiciones Neumaticos y Aros Relleno,MCV
bomba freno Sistema Direccion y Frenos Sistema Frenos,MCE
rep. fuga transmision Tren de Potencia Transmision,MPO
alto volt sensor p° a Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
rell.ac.convertidor Tren de Potencia Convertidor de Torque,MCM
para sol dañado Estructura Cabina y Plataforma,MCM
sin con. partida Sistema Neumatico Sistema Neumatico,MCE
bomba freno ciclo excesivo Sistema Direccion y Frenos Sistema Frenos,MCM
falla bba freno Sistema Direccion y Frenos Sistema Frenos,MCM
rep calefaccion Estructura Cabina y Plataforma,MCM
falla sist. levante Sistema Hidraulico Sistema Levante,MCM
presion alta bba freno Sistema Direccion y Frenos Sistema Frenos,MCM
codigo electrico Sistema Direccion y Frenos Sistema Frenos,MCM
baja pot Motor Sistema de Combustible,MCM
probl motor Motor Sistema de Combustible,MCM
selectora cambio trabada Tren de Potencia Transmision,MCM
cambio alternador Instr. Electricos y Comp. Control Arranque y Carga,MCE
puerta operador trabada Estructura Cabina y Plataforma,MCM
e526 no responde com. bba fre Sistema Direccion y Frenos Sistema Frenos,MCM
c/ neumatico Neumaticos y Aros Neumaticos,MCV
#neumatico pos 6 cambio Neumaticos y Aros Neumaticos,MCV
pos.1 corte Neumaticos y Aros Neumaticos,MCV
pantalla camaras Innovaciones Tecnologicas Innovaciones Tecnologicas,MCM
fuga aceit pos 1,MCM
fuga aceite masa pos 1 Sistema Suspension Masas,MCM
sin numero identif Estructura Estructura y Chasis,MCM
bajo acumulador de freno Sistema Direccion y Frenos Sistema Frenos,MCM
cargar acum frenos Sistema Direccion y Frenos Sistema Frenos,MCM
rell posicion 3 Neumaticos y Aros Neumaticos,MCV
rell aceit motor Motor Sistema de Lubricacion,MCM
no entra comb,MCM
baja presion freno servicio Sistema Direccion y Frenos Sistema Frenos,MCM
pm 250 h Mantencion Programada PM,MP
backlog Sistema Hidraulico Componentes Hidraulicos,MCM
sin aire para partida Sistema Auxiliar Sistema Neumatico,MCM
problema levante Sistema Hidraulico Sistema Levante,MCM
falla de partida Motor Sistema de Combustible,MCM
falla cint seg Estructura Cabina y Plataforma,MCM
pm x posiciones Neumaticos y Aros Neumaticos,MPV
cheq.pos.neumat. Neumaticos y Aros Neumaticos,MCV
probl partida Instr. Electricos y Comp. Control Arranque y Carga,MCE
neumatico pos 2 chequeo Neumaticos y Aros Neumaticos,MCV
pres.baja combust. Motor Sistema de Combustible,MCM
radio comun Comunicaciones Comunicaciones,MCM
neumatico pos 1 relleno Neumaticos y Aros Relleno,MCV
muestra de aceite Motor Sistema de Lubricacion,MCM
diferencial t° escape,MCM
bloqueo de partida activado Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCM
tapa radiador Motor Sistema de Enfriamiento,MCR
pos 5 -barra link Estructura Estructura y Chasis,MCM
pasador barra link Estructura Estructura y Chasis,MCM
montar p5 Neumaticos y Aros Neumaticos,MCM
bailac torque neumat Neumaticos y Aros Neumaticos,MCV
ruido cardan ppal. Tren de Potencia Transmision,MCM
cardan vibra Tren de Potencia Transmision,MCM
SE DETUVO MOTOR,MCM
sellado cabina ,MCM
probl a &c ,MCM
CAMBIO MANG ALIVIO,MCM
sin aire ,MCM
rell direccion ,MCM
rep. aire acondicionado ,MCM
rep.aire acondicionado ,MCM
cambio neum. pos. 1-2 ,MCV
ac.direccion ,MCM
REP NUMEROS,MCM
APOYO DE BATERIA,MCE
RELLENO HIDRAULICO,MCM
SIN RADIO COMUNICACIONES,MCE
ALARMA BAJO NIVEL DIRECCION,MCM
RELL.REFR.,MCM
PM 18D,MP
CHEQ P1,MCV
rell hid ,MCM
ALTA TEMP. FRENOS TRA,MCM
ALARMA DE DIRECCION,MCE
CAMBIO P4,MPV
CAMBIO MFD,MPV
CHEQUEO NEUMATICO POS 1,MCV
NEUMATICO POS 4 CAMBIO,MCV
fuga aceite ,MCM
fuga aceite hidraulico ,MCM
baja presion ac. diferencial Tren de Potencia Eje Palier y Diferencial,MCM
fuga nitrog p6 Neumaticos y Aros Aro,MCV
intalacion antenas sist. mens Neumaticos y Aros Neumaticos,MPV
ch. electrico Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
pinchado pos. 5 Neumaticos y Aros Neumaticos,MCV
aire acond Aire Acondicionado Aire Acondicionado,MCM
baja p° acum direccion Sistema Direccion y Frenos Sistema Direccion,MCM
plumillas Estructura Cabina y Plataforma,MCM
cheneumaticos Neumaticos y Aros Neumaticos,MCV
cheq pos 1-2 bailac Neumaticos y Aros Neumaticos,MCV
rep luces cond Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
bajo volt sistema Instr. Electricos y Comp. Control Arranque y Carga,MCE
ch. filtro levante Sistema Hidraulico Sistema Levante,MCE
falla levante tolva relleno Sistema Hidraulico Componentes Hidraulicos,MCM
alta p bba freno Sistema Direccion y Frenos Sistema Frenos,MCM
relleno pos 6 bailac Neumaticos y Aros Neumaticos,MCV
se detuvo motor Motor Sistema de Combustible,MCM
codigos electricos Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
bajo niv conv Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
temperatura escape. Motor Sistema de Admision y Escape,MCE
rep.linea de soplado Sistema Neumatico Sistema Neumatico,MCM
cheq retardo automatico Sistema Direccion y Frenos Sistema Frenos,MCE
cinturon seguridad Sistemas de Seguridad Sistema de Seguridad,MCM
golpe trasmision reversa Tren de Potencia Transmision,MCM
che pos 4-6 bailac Neumaticos y Aros,MCV
apoyo aire y bateria partida Sistema Neumatico Sistema Neumatico,MCE
cheq. sist. carga voltaje Instr. Electricos y Comp. Control Arranque y Carga,MCE
cheq. pos-5 desgaste severo Neumaticos y Aros Neumaticos,MCV
botapiedras Tolva Tolva,MCM
sin cond.partida Sistema Neumatico Sistema Neumatico,MCM
linea motor arranque suelta Sistema Neumatico Sistema Neumatico,MCM
barandas quebradas Estructura Cabina y Plataforma,MCM
cambio pos-4 Neumaticos y Aros Neumaticos,MCV
numero identif Estructura Cabina y Plataforma,MCE
apoyo de bateria Estructura Cabina y Plataforma,MCE
aire+radio comunic. Sistema Neumatico Sistema Neumatico,MCE
no pasa marchas Tren de Potencia Transmision,MCM
sensor aceite motor Instr. Electricos y Comp. Control Sistema de Control de Movimiento,MCE
marchas linitada Tren de Potencia Transmision,MCM
baja p comb Motor Sistema de Combustible,MCE
fall bomba transf. combustibl Motor Sistema de Admision y Escape,MCM
fall bomba transf. combustibl,MCM
apoyo bateria partida Instr. Electricos y Comp. Control Arranque y Carga,MCE
fuga combustible/maguera rota Motor Sistema de Combustible,MCM
sin radio comunicacion Comunicaciones Comunicaciones,MCI
falla electrica Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
corte pos 1 Neumaticos y Aros Neumaticos,MCV
pm - paso 4 Mantencion Programada PM,MP
sin switch de bloqueo Instr. Electricos y Comp. Control Arranque y Carga,MCE
corte bdr pps 1 bailac Neumaticos y Aros Neumaticos,MCV
fuga refrigerante Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCM
relleno neumatico Neumaticos y Aros Relleno,MCV
cambio pos-1 Neumaticos y Aros Relleno,MCV
cambio pos-1 Sistema Neumatico Sistema Neumatico,MCV
radiocomunicacion Comunicaciones Comunicaciones,MCI
cambio pos-3 desgaste excesiv Neumaticos y Aros Neumaticos,MCV
sin energ. + pm Instr. Electricos y Comp. Control Arranque y Carga,MPO
smartcap / tres 60 Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
bajo nivel refrig motor Motor Sistema de Enfriamiento,MCM
alarma presion de freno Sistema Direccion y Frenos Sistema Frenos,MCE
chequeo luz de cabina Estructura Cabina y Plataforma,MCE
bocina activada Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
eval. corte pos tras. bailac Neumaticos y Aros Neumaticos,MCV
alarma preson de freno bajo Sistema Direccion y Frenos Sistema Frenos,MCM
falla radio comunicacion Comunicaciones Comunicaciones,MCI
filtro convert.par taponado Tren de Potencia Convertidor de Torque,MCM
cinturon seg. Estructura Cabina y Plataforma,MCM
filtro hco. tap. Sistema Hidraulico Componentes Hidraulicos,MCM
presion acumulador freno Sistema Direccion y Frenos Sistema Frenos,MCM
retiro cable enrro. mf Estructura Estructura y Chasis,MCM
smrtcap Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
radiocoumnicaciones Comunicaciones Comunicaciones,MCI
relleno pos 2-3 Neumaticos y Aros Neumaticos,MCV
chequeo corte pos 3 Neumaticos y Aros Neumaticos,MCV
chequeo posiciones traseras Neumaticos y Aros Neumaticos,MCM
ch. p° neum. pos 1-2 Neumaticos y Aros Neumaticos,MCV
sin luces traeras Instr. Electricos y Comp. Control Luces,MCE
baliza cinturon Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
corte en pos 3 Neumaticos y Aros Neumaticos,MCV
fuga pos 3-5 bailac Neumaticos y Aros Neumaticos,MCV
desgaste pos 5y3 Neumaticos y Aros Neumaticos,MCV
desp.goma bdr pos 5 bailac Neumaticos y Aros Neumaticos,MCV
sin aire paetida Mantencion Programada PM,MCM
desp.goma pos.5 bailac Neumaticos y Aros Neumaticos,MCV
alimentacion 8 volts Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
corte bdr pos 3-5 bailac Neumaticos y Aros Neumaticos,MCV
detuvo motor. Motor Sistema de Lubricacion,MCM
soporte sombrilla suelto. Estructura Cabina y Plataforma,MCM
evaluacion fuga combustible Motor Sistema de Combustible,MCM
fuga valvula combustible Motor Sistema de Combustible,MCM
verificacion torque pos.6,MCV
desgast.pos 3 bailac Neumaticos y Aros Neumaticos,MCV
humo escape motor Motor Sistema de Admision y Escape,MCM
instalar tapa filtro aire Motor Sistema de Admision y Escape,MCM
revision 3 Neumaticos y Aros Neumaticos,MCV
puerta derch no cierra Estructura Cabina y Plataforma,MCM
cambio cil. direccion Sistema Direccion y Frenos Sistema Direccion,MCM
evl. pos 35.bailac Neumaticos y Aros Neumaticos,MCV
apoyo de refrigerante Motor Sistema de Enfriamiento,MCE
alarma nivel refrigerante baj Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
desgaste+corte pos3/5 bailac Neumaticos y Aros Neumaticos,MCV
pantalla smartcap Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
cheq. neumaticos pos. 4/6 cor Neumaticos y Aros Neumaticos,MCV
sin energia / aire partida Motor,MCM
rotacion posc 1-2 Neumaticos y Aros Neumaticos,MCV
chequeo seguro tolva Estructura Estructura y Chasis,MCM
Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
baja presion de freno Sistema Hidraulico Componentes Hidraulicos,MCM
apoyo de baterias Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCM
cheq. de neumaticos por corte Neumaticos y Aros Neumaticos,MCV
chequeo bailac pos3.5 Neumaticos y Aros Neumaticos,MCV
presion baja de freno Sistema Direccion y Frenos Sistema Frenos,MCM
presion de freno Sistema Direccion y Frenos Sistema Frenos,MCM
alarma nivel ac. direccion ba Sistema Direccion y Frenos Sistema Direccion,MCM
cambio bba levante. Sistema Hidraulico Sistema Levante,MCM
ch. escalera acceso Estructura Cabina y Plataforma,MCM
reparacion plataforma acceso Estructura Cabina y Plataforma,MCA
alza vidrio derecho no sube Estructura Cabina y Plataforma,MCM
rell pos-6 Neumaticos y Aros Relleno,MPV
foco conduccion Instr. Electricos y Comp. Control Luces,MCE
relleno ac.transmision Tren de Potencia Transmision,MCM
relleno trasmison Tren de Potencia Transmision,MCM
fuga filtro diferencial. Tren de Potencia Eje Palier y Diferencial,MCM
relleno nitrog pos 6 Neumaticos y Aros Neumaticos,MPV
fuga cilindro direccion izq. Sistema Direccion y Frenos Sistema Direccion,MCM
perdida potencia. Motor Sistema de Admision y Escape,MCM
ecas. Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
relleno ac transm Tren de Potencia Transmision,MCM
filtro combustible saturado. Motor Sistema de Combustible,MCM
eliminacion fuga termostato. Mantencion Programada PM,MCM
moor det. bajo nivel aceite Motor Sistema de Enfriamiento,MCM
baj nivel trasmision Tren de Potencia Transmision,MCM
luces conduc Instr. Electricos y Comp. Control Luces,MCE
letrero frontal Estructura Estructura y Chasis,MCM
baja potencia Motor Sistema de Enfriamiento,MCM
baja potencia motor diesel Motor Sistema de Combustible,MCM
desgaste c& pos 6 Neumaticos y Aros Neumaticos,MCV
espejo derch Estructura Cabina y Plataforma,MCA
fuga linea v/v llenado combus Motor Sistema de Combustible,MCM
fuga linea combustible Motor Sistema de Combustible,MCM
corte bli p-6 bailac Neumaticos y Aros Neumaticos,MCV
pinchado pos 6 Neumaticos y Aros Neumaticos,MCV
autorizacion de salida Sistema Suspension Suspensiones Delanteras,MCR
golpe susp.+sellado cabina Sistema Suspension Suspensiones Delanteras,MCM
regular espejos Estructura Cabina y Plataforma,MPO
presion acum de freno Sistema Direccion y Frenos Sistema Frenos,MCE
baja p~ frenos Sistema Direccion y Frenos Sistema Frenos,MCE
alarma acum freno Sistema Direccion y Frenos Sistema Frenos,MCE
alta t~ refrigerante Motor Sistema de Enfriamiento,MCM
chequeo fuga ac direccion Sistema Direccion y Frenos Sistema Direccion,MCM
cambio espejo derecho. Estructura Cabina y Plataforma,MCM
rell.ac. diferencial Tren de Potencia Eje Palier y Diferencial,MCM
baja pot. cod inyector Motor Sistema de Combustible,MCM
bklg Sistema Hidraulico Componentes Hidraulicos,MCM
sinaire partida Sistema Neumatico Sistema Neumatico,MCM
cod sistema freno Sistema Direccion y Frenos Sistema Frenos,MCE
cod.sistema frenos Sistema Direccion y Frenos Sistema Frenos,MCE
cambio bba enfriamiento freno Mantencion Programada PM,MCM
bba. refrig. frenos Motor Sistema de Enfriamiento,MCM
afex apagado Sistema Contra Incendios Sistema Contra Incendios,MCE
radio comunic Comunicaciones Comunicaciones,MCI
ch. foco conduccion Instr. Electricos y Comp. Control Luces,MCE
post pm Sistema Hidraulico Componentes Hidraulicos,MCM
relleno sistema dir Sistema Direccion y Frenos Sistema Direccion,MCM
imprevistos Sistema Hidraulico Componentes Hidraulicos,MCM
corte bl pos 1 bailac Neumaticos y Aros Neumaticos,MCV
cheq sist direccin Sistema Direccion y Frenos Sistema Direccion,MCA
da;o equipo Sistema Direccion y Frenos Sistema Direccion,MCA
cod solenoid.trasmision Tren de Potencia Transmision,MCE
sol 3 transm error Tren de Potencia Transmision,MCE
solend.3 trasmision fmi6 Tren de Potencia Transmision,MCE
eval direccion dura intermite Sistema Direccion y Frenos Sistema Direccion,MCM
espejo derecho que brado Estructura Cabina y Plataforma,MCA
rell.ac.direcccion Sistema Direccion y Frenos Sistema Direccion,MCM
rep acc Aire Acondicionado Aire Acondicionado,MCM
relleno sistem.direccion Sistema Direccion y Frenos Sistema Direccion,MCM
comando bba freno Sistema Direccion y Frenos Sistema Frenos,MCM
baja presion lub.diferencial Tren de Potencia Eje Palier y Diferencial,MCE
baja presion lub. difer. Tren de Potencia Eje Palier y Diferencial,MCM
cheq. pos/5 desgaste excesivo Neumaticos y Aros Neumaticos,MPV
c/puerta operador sin repuest Estructura Cabina y Plataforma,MCM
baja presion ac. diferencial Estructura Cabina y Plataforma,MCM
sin cond partida Motor Sistema de Combustible,MCM
elim fugas Sistema Hidraulico Componentes Hidraulicos,MCM
se detuvo motor diesel Motor Modulo Electrico y Control,MCM
c/lina combustible tk Motor Sistema de Combustible,MCM
fuga aceite hidraulico debajo,MCM
nivelacion pos 3/5 bailac Neumaticos y Aros Neumaticos,MCV
fuga linea de combustible Motor Sistema de Lubricacion,MCM
smarcatp Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
rell p-5 bailac Neumaticos y Aros Relleno,MCV
puerta derecha no cierra Estructura Cabina y Plataforma,MCM
alta temp. diferencial de esc Motor Sistema de Admision y Escape,MCM
tapas motor Estructura Estructura y Chasis,MCM
nivel. pos 5 bailac Neumaticos y Aros Neumaticos,MPV
fuga linea v/v venteo combust Motor Sistema de Combustible,MCM
revision pos.1/2 Neumaticos y Aros Neumaticos,MCV
impacto bloq neumatico + afex Sistema Contra Incendios Sistema Contra Incendios,MCA
relleno de refrigerante Sistema de Propulsion Componente de Propulsion,MCM
nivel.pos2/5/6 bailac Neumaticos y Aros Neumaticos,MCV
sensor temp. dif. error Tren de Potencia Eje Palier y Diferencial,MCE
rell. diferencial Tren de Potencia Eje Palier y Diferencial,MCM
filtro diferencial obstruido Tren de Potencia Transmision,MCM
jdi+c/inyectores2/3/5/7 Motor Sistema de Combustible,MCM
baja presion riel de combusti Motor Sistema de Combustible,MCM
filtro diferencial taponado Tren de Potencia Eje Palier y Diferencial,MCM
t~ diferencial error Tren de Potencia Eje Palier y Diferencial,MCE
relleno refrig motor Motor Sistema de Enfriamiento,MCM
post /pm eliminacion de fugas Sistema Hidraulico Componentes Hidraulicos,MCM
falla de cinturon baliza Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCM
sin condicion partida Motor Sistema de Admision y Escape,MCM
nivelacion pos 4 bailac Neumaticos y Aros Neumaticos,MPV
pinchado pos/6 Neumaticos y Aros Neumaticos,MCA
torque pos.6 Neumaticos y Aros Neumaticos,MPV
evalauar tolva Tolva Tolva,MCA
relleno direccion Sistema Hidraulico Componentes Hidraulicos,MCM
protuberancia pos 1 Neumaticos y Aros Neumaticos,MCV
post/pm eliminacion de fugas Sistema Hidraulico Sistema Levante,MCM
rotacion neumatico Neumaticos y Aros Neumaticos,MPV
pre / pm Mantencion Programada PM,MP
se limita 3era marcha la trab Tren de Potencia Transmision,MCE
nivelacion pos 5 bailac Neumaticos y Aros Neumaticos,MCV
evalu.codigos tcs. Sistema Direccion y Frenos Sistema Frenos,MCE
ecas y smartcap Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
impacto en espejo izquierdo Estructura Cabina y Plataforma,MCA
control motor error Motor Modulo Electrico y Control,MCE
fuga ac. diferencial por filt Tren de Potencia Eje Palier y Diferencial,MCM
fuga ac.motor x respideradero Motor Sistema de Lubricacion,MCM
CAMB.MANGERA COMBUSTIBLE Motor Sistema de Combustible,MCM
REP FOCOS TRASEROS Instr. Electricos y Comp. Control Luces,MCA
alarm nv 3 direccion Sistema Direccion y Frenos Sistema Direccion,MCM
ch. asiento operador Estructura Cabina y Plataforma,MCM
nv bajo ac direccion Sistema Direccion y Frenos Sistema Direccion,MCM
suspension delantera pos 1 fu Sistema Suspension Suspensiones Delanteras,MCM
motor Motor Sistema de Admision y Escape,MCM
temp alta turbina turbo derec Motor Sistema de Admision y Escape,MCE
